run,step,checkpoint,checkpoint_sha256,formal_selected,learning_rate,diversity,molecules,records,upstream_bond_outlier_rate,raw_proposal_bond_outlier_rate,atom_clipped_proposal_bond_outlier_rate,trust_clipped_proposal_bond_outlier_rate,safety_gated_proposal_bond_outlier_rate,accepted_bond_outlier_rate,minimal_target_bond_outlier_rate,raw_proposal_bond_outlier_relative_improvement,atom_clipped_proposal_bond_outlier_relative_improvement,trust_clipped_proposal_bond_outlier_relative_improvement,safety_gated_proposal_bond_outlier_relative_improvement,accepted_bond_outlier_relative_improvement,minimal_target_bond_outlier_relative_improvement,upstream_bond_outlier_magnitude,raw_proposal_bond_outlier_magnitude,atom_clipped_proposal_bond_outlier_magnitude,trust_clipped_proposal_bond_outlier_magnitude,safety_gated_proposal_bond_outlier_magnitude,accepted_bond_outlier_magnitude,minimal_target_bond_outlier_magnitude,accepted_bond_magnitude_relative_improvement,accepted_total_validity_delta,target_total_validity_delta,target_total_validity_relative_improvement,target_angle_relative_improvement,target_ring_relative_improvement,target_rmsd_delta,target_displacement,target_high_flex_torsion_change,target_identity_status_records,target_identity_status_unchanged_fraction,target_clean_records,target_clean_identity_fraction,accepted_rmsd_delta,accepted_displacement,atom_clipping_fraction,graph_clipping_fraction,acceptance_fraction,global_safety_gate_mean,raw_target_cosine_similarity,raw_target_norm_ratio,bond_local_projection_recovery,diagnostic_oracle_bond_outlier_relative_improvement,target_available_gain,raw_potential_gain,atom_clipping_loss,graph_clipping_loss,clipping_loss,safety_gate_loss,acceptance_loss,accepted_gain,target_gap
V4,500,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\medium\run_a_seed42_schedule_v4_10k\checkpoints\step000500.ckpt,1ac345291c5a472d979cdd2ae0cc4b75029c25d4b570743e9a9593987bffc2f0,False,0.0002,0.0117731669843196,500,700,0.2620318778529763,0.2613190298937261,0.2613190298937261,0.2613190298937261,0.2602601254768669,0.2434313232563436,0.0993848440190777,0.0027204627356453,0.0027204627356453,0.0027204627356453,0.0067615909584233,0.0709858462605429,0.620714682376006,1.2474889507107436,1.203117380093783,1.203117380093783,1.203117380093783,1.202758028510958,1.1623423857763409,0.4047424023721978,0.0682543640053015,-0.0453708510966426,-0.465342710218373,0.5860821730019669,0.1770409950540537,0.5044152382920628,0.0012440164126457,0.0084903853574417,0.0158567067914903,39,1.0,1,1.0,0.0005031226202845,0.0013898228256148,0.0,0.0,0.683,0.9289021251648664,0.1511548534484753,0.7444495040410528,0.0563535110742004,0.0604306280882045,0.1626470338338986,0.0007128479592501,0.0,0.0,0.0,-0.0010589044168591,-0.0168288022205233,0.0186005545966327,0.1440464792372658
V4,1000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\medium\run_a_seed42_schedule_v4_10k\checkpoints\step001000.ckpt,33da2f5f65ac2457d1b868ce6c90fc99b407f621e2e2163f4debd8b21f7b823f,False,0.0001987725173062,0.0113528995215892,500,700,0.2620318778529763,0.2553983636461198,0.2553983636461198,0.2553983636461198,0.2563173849992454,0.2476670212075114,0.0993848440190777,0.0253156763261395,0.0253156763261395,0.0253156763261395,0.0218083879738376,0.054821026980255,0.620714682376006,1.2474889507107436,1.173964115889743,1.173964115889743,1.173964115889743,1.1820076435888187,1.168637516282499,0.4047424023721978,0.0632081225114819,-0.0383622129827782,-0.465342710218373,0.5860821730019669,0.1770409950540537,0.5044152382920628,0.0012440164126457,0.0084903853574417,0.0158567067914903,39,1.0,1,1.0,0.0003585215732455,0.000988807134142,0.0,0.0,0.717,0.8977939092218876,0.1689191721268822,0.4075637540725894,0.0464348116923561,0.0505693849544405,0.1626470338338986,0.0066335142068564,0.0,0.0,0.0,0.0009190213531255,-0.0086503637917339,0.0143648566454649,0.1482821771884337
V4,1500,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\medium\run_a_seed42_schedule_v4_10k\checkpoints\step001500.ckpt,f94c317f4e12c559058e26f9842317770179ed3e9cbc07c0a21ec681fed94197,True,0.000195123551753,0.0107824616506695,500,700,0.2620318778529763,0.2463943650238216,0.2463943650238216,0.2463943650238216,0.2476506388820707,0.2358718493171036,0.0993848440190777,0.0596779023883834,0.0596779023883834,0.0596779023883834,0.0548835473330261,0.0998352900808155,0.620714682376006,1.2474889507107436,1.0455068298056722,1.0455068298056722,1.0455068298056722,1.069872514544986,1.0457354152947664,0.4047424023721978,0.1617277133404911,-0.0846479790069097,-0.465342710218373,0.5860821730019669,0.1770409950540537,0.5044152382920628,0.0012440164126457,0.0084903853574417,0.0158567067914903,39,1.0,1,1.0,0.0007454100139439,0.0019521110296515,0.0,0.0,0.715,0.8981669807434082,0.1790306253468646,0.6638230563063034,0.1027499734800561,0.0924652786443523,0.1626470338338986,0.0156375128291547,0.0,0.0,0.0,0.0012562738582491,-0.0117787895649671,0.0261600285358727,0.1364870052980259
V4,2000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\medium\run_a_seed42_schedule_v4_10k\checkpoints\step002000.ckpt,78fa0f6ad28121082772fcd36878e2943dd8d9add352ee037dd69284af5e9034,False,0.0001891526376085,0.0104895723685622,500,700,0.2620318778529763,0.2443044026307761,0.2443044026307761,0.2443044026307761,0.2486662757769227,0.2448740376643836,0.0993848440190777,0.0676538876393768,0.0676538876393768,0.0676538876393768,0.0510075422332886,0.0654799726246277,0.620714682376006,1.2474889507107436,1.039565267355647,1.039565267355647,1.039565267355647,1.082519303736277,1.0845281132655218,0.4047424023721978,0.1306310868343776,-0.0638118008935073,-0.465342710218373,0.5860821730019669,0.1770409950540537,0.5044152382920628,0.0012440164126457,0.0084903853574417,0.0158567067914903,39,1.0,1,1.0,0.000315273296088,0.0014242864367006,0.0,0.0,0.793,0.523258200980723,0.1623418785357847,0.5809256382845569,0.1151836621511684,0.0652587861112662,0.1626470338338986,0.0177274752222001,0.0,0.0,0.0,0.0043618731461465,-0.003792238112539,0.0171578401885926,0.1454891936453059
V4,3000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\medium\run_a_seed42_schedule_v4_10k\checkpoints\step003000.ckpt,fb3fd8d01797708d0f5db40fbef21ab7a57acb2562e13a33284004c077966e11,False,0.0001709553414463,0.0112180302888154,500,700,0.2620318778529763,0.378494716398418,0.3784719890877605,0.3784719890877605,0.3022288433611393,0.257574607051909,0.0993848440190777,-0.4444605728879593,-0.4443738379805743,-0.4443738379805743,-0.153404867520421,0.0170104142961119,0.620714682376006,1.2474889507107436,2.634639314904809,2.634587614312768,2.6343475172668693,1.9566934397364968,1.241180027946364,0.4047424023721978,0.0050572975101583,-0.0087197759239009,-0.465342710218373,0.5860821730019669,0.1770409950540537,0.5044152382920628,0.0012440164126457,0.0084903853574417,0.0158567067914903,39,1.0,1,1.0,-0.0001677190214395,0.0005284349900405,7.325581647455693e-05,0.001,0.418,0.3246468164864927,-0.1144541545164983,3.0087805906107423,-0.1812846569809195,-0.012541242779247,0.1626470338338986,-0.1164628385454416,-2.272731065749989e-05,0.0,-2.272731065749989e-05,-0.0762431457266211,-0.0446542363092303,0.0044572708010673,0.1581897630328312
V4,5000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\medium\run_a_seed42_schedule_v4_10k\checkpoints\step005000.ckpt,0ca2e1cee60fdb0ad0aec7fba854fbddee05477d5ccd94e35ae7f99f5356f75c,False,0.0001174321410925,0.0105415743999183,500,700,0.2620318778529763,0.237145577866584,0.237145577866584,0.237145577866584,0.2505088113509118,0.2494667880125343,0.0993848440190777,0.0949743221714258,0.0949743221714258,0.0949743221714258,0.0439758192647459,0.0479525237287811,0.620714682376006,1.2474889507107436,0.9632072064008098,0.9632072064008098,0.9632072064008098,1.0773865513019265,1.0937509471289812,0.4047424023721978,0.1232379681552864,-0.0542539132375133,-0.465342710218373,0.5860821730019669,0.1770409950540537,0.5044152382920628,0.0012440164126457,0.0084903853574417,0.0158567067914903,39,1.0,1,1.0,0.0002262777201831,0.0011706702046603,0.0,0.0,0.739,0.2161772231021896,0.133725031434868,1.0121138136476662,0.1952096261583963,0.0498965891121064,0.1626470338338986,0.0248862999863922,0.0,0.0,0.0,0.0133632334843278,-0.0010420233383774,0.0125650898404419,0.1500819439934566
V4,7500,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\medium\run_a_seed42_schedule_v4_10k\checkpoints\step007500.ckpt,afa9de6c294c8465fb1e7f9b102e234c25db3b48d5b77fa53a1f4191b253dbb6,False,4.904465855368332e-05,0.0106199259459972,500,700,0.2620318778529763,0.2326353254429996,0.2326353254429996,0.2326353254429996,0.246940916981548,0.2459734400101006,0.0993848440190777,0.1121869317994616,0.1121869317994616,0.1121869317994616,0.0575920799983567,0.0612842909590029,0.620714682376006,1.2474889507107436,0.904728828748688,0.904728828748688,0.904728828748688,1.0407628997117282,1.06349423937127,0.4047424023721978,0.1474920569313617,-0.0649794912370728,-0.465342710218373,0.5860821730019669,0.1770409950540537,0.5044152382920628,0.0012440164126457,0.0084903853574417,0.0158567067914903,39,1.0,1,1.0,0.0003991872854531,0.0012649458951076,0.0,0.0,0.696,0.1727907292898744,0.1744089564583111,1.0513978487234952,0.2514649889871875,0.0624758554264738,0.1626470338338986,0.0293965524099767,0.0,0.0,0.0,0.0143055915385484,-0.0009674769714474,0.0160584378428757,0.1465885959910229
V4,10000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\medium\run_a_seed42_schedule_v4_10k\checkpoints\step010000.ckpt,3362bfb0d6b23b1cb378a84da9a25fb5590cc62682161bf021e207fa7b72c1c4,False,2e-05,0.0106885590292513,500,700,0.2620318778529763,0.2212519227415323,0.2212519227415323,0.2212519227415323,0.2505290075577795,0.2503456738777458,0.0993848440190777,0.1556297479741196,0.1556297479741196,0.1556297479741196,0.0438987438835625,0.0445984056252403,0.620714682376006,1.2474889507107436,0.8193254697527736,0.8193254697527736,0.8193254697527736,1.0711197738461196,1.0943700364492834,0.4047424023721978,0.1227416997755549,-0.053515294619827,-0.465342710218373,0.5860821730019669,0.1770409950540537,0.5044152382920628,0.0012440164126457,0.0084903853574417,0.0158567067914903,39,1.0,1,1.0,0.0003243685476481,0.0011926959472082,0.0,0.0,0.798,0.1359464497801382,0.169574682317781,1.3553166765531617,0.2869371255121775,0.0462451029896215,0.1626470338338986,0.040779955111444,0.0,0.0,0.0,0.0292770848162472,-0.0001833336800337,0.0116862039752304,0.1509608298586681
V3_best_overall,2000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\medium\run_a_seed42_rescue_v2_20k\checkpoints\step002000.ckpt,3ca8c3f787626c074586137e04cad4bb65ecc1302230ff8aac8a14322f46c4ba,False,0.0002,0.0103765690177679,500,700,0.2620318778529763,0.2471480412334203,0.2471480412334203,0.2471480412334203,0.2430545549020171,0.2362807215452194,0.0993848440190777,0.056801625594223,0.056801625594223,0.056801625594223,0.0724237184668318,0.0982748989121302,0.620714682376006,1.2474889507107436,1.0116252262182537,1.0116252262182537,1.0116252262182537,1.0178512727707567,1.0073152041733264,0.4047424023721978,0.1925257505491978,-0.0901284454057677,-0.465342710218373,0.5860821730019669,0.1770409950540537,0.5044152382920628,0.0012440164126457,0.0084903853574417,0.0158567067914903,39,1.0,1,1.0,0.0006995247639716,0.0018453398199381,0.0,0.0,0.71,0.4057609119340777,0.1810942767291228,0.9782852580796536,0.1608154352525776,0.0956088303279785,0.1626470338338986,0.0148838366195559,0.0,0.0,0.0,-0.0040934863314032,-0.0067738333567976,0.0257511563077569,0.1368958775261417
V3_formal,10000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\medium\run_a_seed42_rescue_v3_20k\checkpoints\step010000.ckpt,5b312915516c258429a980a4c2341391853c4bf6a4948b17346f4b7927d2a6b1,True,0.0002,0.010288463179022,500,700,0.2620318778529763,0.2250978287309408,0.2250978287309408,0.2250978287309408,0.2462930061928928,0.2455366451181471,0.0993848440190777,0.1409525032780892,0.1409525032780892,0.1409525032780892,0.0600647210905936,0.0629512442149673,0.620714682376006,1.2474889507107436,0.8368840868948028,0.8368840868948028,0.8368840868948028,1.0408998390883206,1.042624217029661,0.4047424023721978,0.1642216819350289,-0.0740676613319922,-0.465342710218373,0.5860821730019669,0.1770409950540537,0.5044152382920628,0.0012440164126457,0.0084903853574417,0.0158567067914903,39,1.0,1,1.0,0.000556331049651,0.0014472416898484,0.0,0.0,0.69,0.097174626735039,0.1923858474253872,1.8450673231749628,0.3625988534395821,0.0636022619726544,0.1626470338338986,0.0369340491220355,0.0,0.0,0.0,0.0211951774619519,-0.0007563610747456,0.0164952327348291,0.1461518010990694
Run_A_Stage2b,3000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\stage2b\run_a_rigid_only_seed42_5k\checkpoints\best_noninferior_validity.ckpt,ac3e7e3b1fa4189e8ccdfeb45ea7c799a7130c213aeed017c301218b71487070,True,0.0002,0.0075245958939194,500,700,0.2620318778529763,0.251717199511826,0.251717199511826,0.251717199511826,0.2355088256895542,0.2298061870634555,0.0993848440190777,0.0393642118114261,0.0393642118114261,0.0393642118114261,0.1012207078800692,0.1229838562146331,0.620714682376006,1.2474889507107436,1.022294377984479,1.022294377984479,1.022294377984479,0.945376852316782,0.9353029156029224,0.4047424023721978,0.2502515432541158,-0.1166439245549755,-0.465342710218373,0.5860821730019669,0.1770409950540537,0.5044152382920628,0.0012440164126457,0.0084903853574417,0.0158567067914903,39,1.0,1,1.0,0.0009515285156667,0.0024915533808866,0.0,0.0,0.694,0.3341598053323105,0.18235437179583,1.4282755585725957,0.2313752991441968,0.1227239361155261,0.1626470338338986,0.0103146783411502,0.0,0.0,0.0,-0.0162083738222718,-0.0057026386260986,0.0322256907895207,0.1304213430443778
