group_type,group,status,molecule_count,record_count,upstream_bond_outlier_rate,target_bond_outlier_rate,raw_bond_outlier_rate,accepted_bond_outlier_rate,target_upper_bound_relative_improvement,raw_model_relative_improvement,accepted_relative_improvement,model_to_target_recovery_ratio,target_available_gain,raw_potential_gain,atom_clipping_loss,graph_clipping_loss,clipping_loss,safety_gate_loss,acceptance_loss,accepted_gain,target_gap,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_probability_ge_10pct,diagnostic_only
all,all,OK,500,700,0.2620318778529763,0.09938484401907771,0.2463943650238216,0.23587184931710362,0.620714682376006,0.059677902388383455,0.09983529008081551,0.16083925983297265,0.1626470338338986,0.015637512829154737,0.0,0.0,0.0,0.0012562738582491961,-0.011778789564967168,0.02616002853587271,0.1364870052980259,0.09281947704687364,0.10713653793674045,0.511,True
flexibility,rotatable_3_5,OK,115,165,0.2595341434621293,0.09946258522408163,0.24496114620048068,0.23397403518142906,0.6167649315913802,0.05615059763331317,0.09848456908110009,0.15967926196288376,0.16007155823804764,0.014572997261648596,0.0,0.0,0.0,0.000651216766108631,-0.011638327785160246,0.02556010828070021,0.13451144995734743,0.0830264394562065,0.11465630086357916,0.416,True
flexibility,rotatable_ge_6,OK,368,511,0.26213126588086394,0.09899702108004535,0.24592976348535361,0.23559163537625546,0.6223379887653748,0.06180682926573798,0.10124557410358852,0.16268583298995543,0.1631342448008186,0.016201502395510325,0.0,0.0,0.0,0.001449679581286445,-0.011787807690384594,0.026539630504608475,0.13659461429621012,0.09267572858968642,0.10941102084778956,0.617,True
flexibility,rotatable_le_2,INSUFFICIENT,17,24,0.27677685789325657,0.10725417360663414,0.2661469256614937,0.2547758114250267,0.6124886508828046,0.03840614534276722,0.07949019522692509,0.12978231533327625,0.16952268428662243,0.01062993223176284,0.0,0.0,0.0,0.001162642065216546,-0.012533756301683574,0.022001046468229868,0.14752163781839256,0.02948121527187985,0.126049761767944,0.189,True
source,Cartesian_medium,OK,87,87,0.6432620122514922,0.44311266777844266,0.5856143527332394,0.5985814648113031,0.3111474650469463,0.089617696086979,0.06945932853053435,0.223236041855762,0.2001493444730495,0.05764765951825279,0.0,0.0,0.0,0.01296711207806378,0.0,0.04468054744018901,0.15546879703286048,0.05877857728909772,0.0797520706996092,0.0,True
source,Cartesian_mild,OK,128,134,0.5093694044044241,0.292624570447515,0.45143317873589694,0.4554035549517721,0.42551600485375873,0.1137410790038884,0.10594638976353743,0.24898332508068424,0.21674483395690913,0.057936225668527186,0.0,0.0,0.0,0.004983173683285713,-0.0010127974674105644,0.05396584945265204,0.1627789845042571,0.08795869939224653,0.12339302054600777,0.754,True
source,Cartesian_severe,INSUFFICIENT,15,15,0.7288830916086833,0.34060348632435006,0.6267703135808309,0.6484538396199544,0.5327049148957204,0.14009486459959455,0.11034588799586127,0.2071426129369616,0.3882796052843332,0.10211277802785235,0.0,0.0,0.0,0.02168352603912349,0.0,0.08042925198872886,0.30785035329560434,0.0882752811968212,0.1341796177935122,0.808,True
source,ETFlow_normal,OK,300,300,0.11954717344293991,0.00676434800028801,0.12798018901919325,0.10806117406114936,0.9434169139639538,-0.07054132133269075,0.09607922170801339,0.10184174174312546,0.1127828254426519,-0.008433015576253339,0.0,0.0,0.0,-0.0018493993207812365,-0.018069615637262657,0.011485999381790554,0.10129682606086135,0.07941027758222982,0.11250748406954321,0.313,True
source,unseen_scale_0.35,OK,200,400,0.4757589344680309,0.23831558804726227,0.4240156290307641,0.427587862201035,0.4990833155582575,0.10875950337143639,0.10125100923403217,0.202873961275937,0.23744334642076864,0.051743305437266796,0.0,0.0,0.0,0.005914783626794817,-0.0023425504565239286,0.04817107226699591,0.18927227415377273,0.0932415505228556,0.10978139592189731,0.6,True
structure,aromatic_heavy,OK,254,354,0.2336755898436458,0.08223472482444147,0.22672028328460736,0.21339088906424017,0.6480816636454609,0.029764797271688924,0.0868071020724856,0.13394469700653994,0.15144086501920434,0.006955306559038449,0.0,0.0,0.0,0.0002296424404842623,-0.013559036660851453,0.02028470077940564,0.1311561642397987,0.07628011007329234,0.09782938254114061,0.008,True
structure,aromatic_light,OK,246,346,0.29131032156992737,0.11709269066719807,0.2667082542992704,0.25908389770827156,0.5980482598894435,0.08445312592451813,0.11062575362239624,0.18497797091299412,0.1742176309027293,0.024602067270656947,0.0,0.0,0.0,0.002316291663583714,-0.009940648254582574,0.032226423861655806,0.14199120704107349,0.10033697054132013,0.12089997398079493,0.98,True
structure,atom_count_q1,OK,128,175,0.2417488592909649,0.08790888829389587,0.22842650962411426,0.2166594167065341,0.6363627586424712,0.05510822142418502,0.1037830857114141,0.16308793106122468,0.15383997099706903,0.013322349666850641,0.0,0.0,0.0,-0.00035462272353470325,-0.011412470194045454,0.0250894425844308,0.12875052841263823,0.08532418188508366,0.12336045591333228,0.634,True
structure,atom_count_q2,OK,120,175,0.2744886395831903,0.10222887311441203,0.2609208953101188,0.2486608366171519,0.6275661052142409,0.049429165060069724,0.09409425105992654,0.14993520248803793,0.17225976646877827,0.013567744273071503,0.0,0.0,0.0,0.0011473807816704262,-0.013407439474637323,0.0258278029660384,0.14643196350273988,0.08020807330902482,0.10790558385991784,0.199,True
structure,atom_count_q3,OK,129,175,0.2411245822097904,0.08908780146563469,0.23016658708337664,0.2184565394048312,0.6305320650047872,0.04544536697996127,0.09400967166938161,0.1490957825731953,0.15203678074415572,0.010957995126413766,0.0,0.0,0.0,0.0011967912374078737,-0.012906838915953317,0.02266804280495921,0.1293687379391965,0.08067415986921084,0.10849302193998493,0.215,True
structure,atom_count_q4,OK,123,175,0.29291363481462485,0.11935197678962495,0.26793977324434415,0.2616530515677561,0.5925352643103869,0.08526015385417553,0.1067228682155835,0.18011226444014478,0.1735616580249999,0.024973861570280698,0.0,0.0,0.0,0.0031012754009021593,-0.009387997077490218,0.031260583246868756,0.14230107477813114,0.09328326786274907,0.1203462465198191,0.856,True
structure,bond_count_q1,OK,127,175,0.24587592629231805,0.08883486059677648,0.23274621000792098,0.22037640510229614,0.6387004537761778,0.05339976337816562,0.10370889730662744,0.16237486084982578,0.15704106569554158,0.013129716284397075,0.0,0.0,0.0,-0.0008648162282358096,-0.011504988677389028,0.025499521190021912,0.13154154450551966,0.08592717657367945,0.12176090815775903,0.661,True
structure,bond_count_q2,OK,120,175,0.2748548054136336,0.1031066612030069,0.2610546994799127,0.24923783345147968,0.6248686245530983,0.05020871260719955,0.09320183405053631,0.14915428681859905,0.1717481442106267,0.013800105933720885,0.0,0.0,0.0,0.001776972971856583,-0.013593839000289626,0.025616971962153928,0.14613117224847277,0.07910704826796451,0.106974244955045,0.153,True
structure,bond_count_q3,OK,131,175,0.23719347515747746,0.08956277177789966,0.22513202151269404,0.21409664008737975,0.6224062583574984,0.05085069746027197,0.0973755077148023,0.15645007807564756,0.1476307033795778,0.01206145364478342,0.0,0.0,0.0,0.0014432533039846485,-0.012478634729298943,0.023096835070097715,0.12453386830948009,0.08226650158288933,0.11227469248166437,0.385,True
structure,bond_count_q4,OK,122,175,0.292907986820477,0.11725305136461116,0.2690127465996097,0.2622370602043926,0.59969322572117,0.08157933991575526,0.10471181393521568,0.17460896579128926,0.1756549354558658,0.023895240220867253,0.0,0.0,0.0,0.0027513577923423127,-0.009527044187559452,0.030670926616084393,0.1449840088397814,0.09249831196068307,0.11793994911260032,0.782,True
structure,heteroatom_light,OK,251,350,0.2671051143011843,0.1025420615905933,0.24921507426942013,0.23859072488498878,0.6160984717238764,0.06697752710040425,0.10675343858838673,0.17327333776642054,0.16456305271059096,0.017890040031764143,0.0,0.0,0.0,0.002098537551098123,-0.012722886935529476,0.028514389416195496,0.13604866329439547,0.096850834442025,0.11644015823476504,0.902,True
structure,heteroatom_rich,OK,249,350,0.2569178925176342,0.09620226727028089,0.24355099947906164,0.2331311353912435,0.6255524816603506,0.05202787905344149,0.09258505467756797,0.14800525518151147,0.1607156252473533,0.013366893038572553,0.0,0.0,0.0,0.0004072449951765533,-0.010827109082994696,0.023786757126390695,0.1369288681209626,0.08136161562493498,0.10462735736117519,0.091,True
structure,non_ring,INSUFFICIENT,12,15,0.2596545709917943,0.09167549557362993,0.23435332253575325,0.23110374932487807,0.6469328645998415,0.09744195281985087,0.10995693839650716,0.1699665365810728,0.16797907541816437,0.025301248456041037,0.0,0.0,0.0,-0.0007243206103642874,-0.0025252526005108966,0.02855082166691622,0.13942825375124812,0.04169054037597441,0.19120055614376782,0.586,True
structure,ring,OK,488,685,0.2620903362184152,0.09957441816117889,0.2466904562325446,0.23598909767756818,0.6200759646544247,0.05875790846800621,0.09958871020370375,0.1606072737542821,0.1625159180572363,0.015399879985870613,0.0,0.0,0.0,0.001304977000919999,-0.012006335555896419,0.026101238540847033,0.1364146795163893,0.09192131824418065,0.10702128243524663,0.461,True
