group,method,molecules,records,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,p95_displacement,p95_torsion_change,high_flex_p95_torsion_change
all,medium_accepted,500,700,7.732,1.321805695850402,1.8463313579559325e-05,0.2572359515093267,1.2142441228078678,0.030729460909031333,0.08570589016041935,0.15118108131736516,0.009466666666666667,2.475976143614389e-07,0.002,0.0,3.189915759485048,0.7776009112420761,0.0,0.00039678123833394353,0.000544614781342986,0.015568343922495842,0.28,0.0002785209905159718,0.0005922558576567098,0.72,2.695,0.05947868199180811,0.0631674805227667,0.28031016485765575,0.000680745977875631,0.0,0.0,0.0,0.0,0.0,0.0,-0.004795926343649626,-0.03324482790287584,-0.0004012663578614593,-0.00022789760718956132,-0.0023225641176104544,-0.0005,0.0,0.0,0.0,0.0,-0.0004166040873464754,-0.01638793819663789,0.482,0.06877587428689003,1.3218056982047857,2.376002931714058,0.011163890346884727,0.72,0.28,0.28,0.78,0.0,0.306,0.454,0.0017004783498123274,0.0009641561351600101,0.002771668834611772
all,medium_raw,500,700,7.732,1.3217585658766329,-2.86666601896286e-05,0.2609050606824458,1.226097017028369,0.030942449082620442,0.0868283864797777,0.1543282461874187,0.0098,2.458400776959024e-07,0.002,0.0,3.1900621103165507,0.7882073526695992,0.0,0.0006841163230637904,0.0009355503436381696,0.03406493924558163,0.0,0.00044116464084982,0.0009707301779417321,0.72,2.695,0.05947868199180811,0.0631674805227667,0.28031016485765575,0.000680745977875631,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011268171705305576,-0.021391933682374655,-0.00018827818427234887,0.0008945987121687722,0.0008246007524430752,-0.0001666666666666667,-1.7575366655364633e-09,0.0,0.0,0.0,-0.00027025325584370785,-0.005781496769114634,0.482,0.06877587428689003,1.3217585671283305,2.375884171843529,0.011322494380176067,0.72,0.28,0.0,0.674,0.324,0.412,0.566,0.0029068711824947954,0.0015456046501640167,0.004721890389919275
all,upstream,500,700,7.732,1.3217872325368225,0.0,0.2620318778529763,1.2474889507107436,0.03113072726689279,0.08593378776760892,0.15350364543497563,0.009966666666666667,2.475976143614389e-07,0.002,0.0,3.1903323635723946,0.793988849438714,0.0,7.185659229378416e-07,7.91879917912297e-07,5.723151843994856e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482,0.06884254094958306,1.3217872328907252,2.3759859224557878,0.011278490915894508,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3240843117046095e-06,0.0,0.0
ETFlow_normal,medium_accepted,300,300,7.59,1.3020788227580489,-1.096019521355629e-05,0.11774924689903855,0.36072569579662134,0.015425947184364,0.05822192767091716,0.034845374152064325,0.011777777777777778,0.0,0.0,0.0,3.182969733692505,0.2845352518801293,0.0,0.00015445719204440896,0.000221971241496135,0.015568343922495842,0.3333333333333333,0.00011747393916872776,0.0002516502947158491,0.6666666666666666,2.52,0.012992208347034951,0.05154582165181637,0.13720693359772365,0.00022053933354982292,0.0,0.0,0.0,0.0,0.0,0.0,-0.001797926543901364,-0.004484745721953611,-0.00020309000586469969,-0.00036256280248835536,-0.0008093540618817011,-0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,-0.004855531076091589,0.49666666666666665,0.06925439111888408,1.3020788227580489,2.3617569835980734,0.0,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.6666666666666666,0.0,0.26666666666666666,0.37333333333333335,0.0007275621203007177,0.00039928739570314095,0.0010122538544237612
ETFlow_normal,medium_raw,300,300,7.59,1.3020786838543912,-1.1099098871151607e-05,0.11948141299809019,0.3607742695650086,0.015463825973371665,0.05827749443429639,0.03526204081873099,0.011777777777777778,0.0,0.0,0.0,3.182969733692505,0.28674799856779687,0.0,0.00022205960834980942,0.00031605443019846764,0.015568343922495842,0.0,0.00016129699059699002,0.00034863451796506224,0.6666666666666666,2.52,0.012992208347034951,0.05154582165181637,0.13720693359772365,0.00022053933354982292,0.0,0.0,0.0,0.0,0.0,0.0,-6.576044484972954e-05,-0.004436171953566373,-0.00016521121685703595,-0.00030699603910913235,-0.0003926873952150345,-0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,-0.0026427843884240096,0.49666666666666665,0.06925439111888408,1.3020786838543912,2.361746680736542,0.0,0.6666666666666666,0.33333333333333337,0.0,0.6633333333333333,0.3333333333333333,0.37333333333333335,0.59,0.0008020942681469024,0.0004237484274199233,0.0011191010242328034
ETFlow_normal,upstream,300,300,7.59,1.3020897829532623,0.0,0.11954717344293991,0.36521044151857496,0.0156290371902287,0.05858449047340552,0.035654728213946024,0.012611111111111111,0.0,0.0,0.0,3.182969733692505,0.28939078295622084,0.0,7.106439457989685e-07,7.830320992733656e-07,5.723151843994856e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49666666666666665,0.06925439111888408,1.3020897829532623,2.361784588098526,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4048673563138438e-06,0.0,0.0
Cartesian_mild,medium_accepted,128,134,7.71875,1.348814971948741,9.202311048284173e-06,0.4995804912177846,3.011402408592403,0.05737554474035278,0.14028980952525671,0.34588689741212875,0.006119791666666666,1.0139805226572207e-06,0.0078125,0.0,3.1714206432424055,1.7125117935468706,0.0,0.0006612393401053129,0.000921584865771985,0.01629778742790222,0.34765625,0.000498144874427453,0.0008728876712211786,0.65234375,2.3046875,0.14583264396060258,0.0869627950451104,0.5759830940805841,0.001784710848312443,0.0,0.0,0.0,0.0,0.0,0.0,-0.009788913186639547,-0.039380285888910294,-0.0010725029569584876,-0.0009334013320767554,-0.004585230606608093,0.0,0.0,0.0,0.0,0.0,0.0010941262625192988,-0.02552506855545289,0.484375,0.076340069033904,1.348814971599495,2.353988374117762,0.0012806690501747653,0.65234375,0.34765625,0.34765625,0.671875,0.0,0.28125,0.390625,0.0028968877741135652,0.001733924268046393,0.004884099960327148
Cartesian_mild,medium_raw,128,134,7.71875,1.3485932467447128,-0.000212522892979905,0.509848321788013,3.0740843089297414,0.059237020926957484,0.14761877759747222,0.3560923592885956,0.006119791666666666,1.0106662102771224e-06,0.0078125,0.0,3.1706827826104984,1.7523492759682466,0.0,0.001794523608396048,0.002441512375298771,0.03430727869272232,0.0,0.0011487826302527537,0.002438441980530115,0.65234375,2.3046875,0.14583264396060258,0.0869627950451104,0.5759830940805841,0.001784710848312443,0.0,0.0,0.0,0.0,0.0,0.0,0.0004789173835888505,0.023301614448428154,0.0007889732296462171,0.006395566740138747,0.0056202312698587775,0.0,-3.314312380098272e-09,0.0,0.0,0.0,0.0003562656306123832,0.01431241386592319,0.484375,0.076340069033904,1.3485932476760354,2.3536268514581025,0.0013376673450693488,0.65234375,0.34765625,0.0,0.59375,0.40625,0.6171875,0.3828125,0.004350612056441605,0.0026838616468012333,0.008701616525650024
Cartesian_mild,upstream,128,134,7.71875,1.3488057696376927,0.0,0.5093694044044241,3.0507826944813132,0.05844804769731127,0.14122321085733347,0.35047212801873684,0.006119791666666666,1.0139805226572207e-06,0.0078125,0.0,3.170326516979886,1.7380368621023234,0.0,7.594129285415363e-07,8.382630229952781e-07,4.79215395898791e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484375,0.076340069033904,1.3488057685899548,2.3540341616608202,0.0012697136407950893,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4334479487843053e-06,0.0,0.0
Cartesian_medium,medium_accepted,87,87,8.977011494252874,1.4084595678181484,0.00025615609925368736,0.6306983736054651,3.8379046752535064,0.09262773162289255,0.17251986785438553,0.5272344775583552,0.0,1.3541161777162604e-06,0.011494252873563218,0.0,3.1750232922555544,2.27615657842699,0.0,0.0012279227365484494,0.0015668760875531466,0.012984300032258034,0.05747126436781609,0.0007764768792415338,0.0018808918144693062,0.9425287356321839,3.5632183908045976,0.23385027068099756,0.08887840997984355,0.6155376142297668,0.001507827376675171,0.0,0.0,0.0,0.0,0.0,0.0,-0.012563638646027138,-0.19310870389828735,-0.0009423550432440879,0.0010811738755511142,-0.00759752762728724,0.0,0.0,0.0,0.0,0.0,-0.0030453025996756236,-0.06911040382224252,0.41379310344827586,0.04039146322971103,1.4084595678181484,2.534231176321534,0.0,0.9425287356321839,0.05747126436781613,0.05747126436781609,0.9425287356321839,0.0,0.05747126436781609,0.8850574712643678,0.002491213893517852,0.0014508989872410894,0.004385858774185181
Cartesian_medium,medium_raw,87,87,8.977011494252874,1.4084230534646702,0.0002196417457755955,0.6355647475555025,3.851326588926644,0.09208078261721751,0.16881124463317723,0.5350553694812731,0.0,1.3387908365566753e-06,0.011494252873563218,0.0,3.177458179599814,2.2907252025819114,0.0,0.001510274831350122,0.0019427624627433974,0.04257725179195404,0.0,0.0009287373409017749,0.0022857525886368305,0.9425287356321839,3.5632183908045976,0.23385027068099756,0.08887840997984355,0.6155376142297668,0.001507827376675171,0.0,0.0,0.0,0.0,0.0,0.0,-0.007697264695989674,-0.17968679022514958,-0.0014893040489191297,-0.002627449345657195,0.00022336429563061944,0.0,-1.5325341159584878e-08,0.0,0.0,0.0,-0.0006104152554163663,-0.05454177966732104,0.41379310344827586,0.04039146322971103,1.4084230534646702,2.5341775170687972,0.0,0.9425287356321839,0.05747126436781613,0.0,0.9080459770114943,0.09195402298850575,0.09195402298850575,0.9080459770114943,0.0032525462331250317,0.0018125877599231904,0.0056540399789810165
Cartesian_medium,upstream,87,87,8.977011494252874,1.4082034117188946,0.0,0.6432620122514922,4.031013379151794,0.09357008666613664,0.17143869397883443,0.5348320051856424,0.0,1.3541161777162604e-06,0.011494252873563218,0.0,3.17806859485523,2.3452669822492327,0.0,7.539134928811631e-07,8.276996734183604e-07,2.8709398520732066e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41379310344827586,0.040774604969326105,1.4082034117188946,2.5340516868679,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3463761547427567e-06,0.0,0.0
Cartesian_severe,medium_accepted,15,15,7.4,1.4129729270935059,0.0006804068883260092,0.6991415977478027,3.7912521362304688,0.10838212544719378,0.17591401785612107,0.7462558388710022,0.03333333333333333,0.0,0.0,0.0,3.2768046051436537,2.5789044339209797,0.0,0.0018198120640590787,0.002072537480853498,0.005672083701938391,0.0,0.0006125284038716927,0.001163181383162737,1.0,4.0,0.29494958917299907,0.08252393926183382,0.5679631501436233,0.001824377302546054,0.0,0.0,0.0,0.0,0.0,0.0,-0.029741493860880534,-0.376632022857666,-0.0007662837704022726,-0.0057945333421230314,-0.009764313697814941,0.0,0.0,0.0,0.0,0.0,0.0049296745982516064,-0.13587873037904502,0.3333333333333333,0.0472549023727576,1.4129729270935059,2.3980610926946,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.002255052840337157,0.001030090457061305,0.0029327688273042434
Cartesian_severe,medium_raw,15,15,7.4,1.4129729270935059,0.0006804068883260092,0.6991415977478027,3.7912521362304688,0.10838212544719378,0.17591401785612107,0.7462558388710022,0.03333333333333333,0.0,0.0,0.0,3.2768046051436537,2.5789044339209797,0.0,0.0018198120640590787,0.002072537480853498,0.005672083701938391,0.0,0.0006125284038716927,0.001163181383162737,1.0,4.0,0.29494958917299907,0.08252393926183382,0.5679631501436233,0.001824377302546054,0.0,0.0,0.0,0.0,0.0,0.0,-0.029741493860880534,-0.376632022857666,-0.0007662837704022726,-0.0057945333421230314,-0.009764313697814941,0.0,0.0,0.0,0.0,0.0,0.0049296745982516064,-0.13587873037904502,0.3333333333333333,0.0472549023727576,1.4129729270935059,2.3980610926946,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.002255052840337157,0.001030090457061305,0.0029327688273042434
Cartesian_severe,upstream,15,15,7.4,1.41229252020518,0.0,0.7288830916086833,4.167884159088135,0.10914840921759605,0.18170855119824408,0.7560201525688172,0.03333333333333333,0.0,0.0,0.0,3.2718749305454025,2.7147831643000244,0.0,6.945941682564202e-07,7.5845688153701e-07,1.980453362193657e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0472549023727576,1.41229252020518,2.397256835301717,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0929630889222608e-06,0.0,0.0
unseen_update_scale_0.35,medium_accepted,200,400,7.945,1.3513960054889322,6.259857676923276e-05,0.46646600842475894,2.4945217633247374,0.053684731496032326,0.12693183389467266,0.32568464206531644,0.006,6.189940359035973e-07,0.005,0.0,3.2003347981738615,1.517199400284996,0.0,0.0007602673077682454,0.0010285800911132626,0.012003363342955709,0.2,0.0005200915675368378,0.001103164202068001,0.8,2.9575,0.12920839245896787,0.08059996882919222,0.4949650117475539,0.0013710559443643434,0.0,0.0,0.0,0.0,0.0,0.0,-0.009292926043272018,-0.07638495117425918,-0.0006985308858565986,-2.589981424137022e-05,-0.004592379201203585,0.0,0.0,0.0,0.0,0.0,-0.0010415102183661885,-0.03368654887745734,0.46,0.06805809903889895,1.3513960113748908,2.3973718538880346,0.02790972586721182,0.8,0.19999999999999996,0.2,0.95,0.0,0.365,0.575,0.0021172003645915528,0.0011734650950529603,0.003693515050690622
