applicable_record_count,bootstrap_ci95_high,bootstrap_ci95_low,bootstrap_draws,cohort,effect_direction,loss_count,median_difference,metric,paired_mean_difference,significance_status,tie_count,win_count
10000,0.0062,0.0006,10000,natural,V8_12P5K_better,83,0.0,accepted,0.0034,SIGNIFICANT_V8_12P5K_better,9800,117
10000,-0.01435690799071028,-0.017812464009473377,10000,natural,V8_12P5K_better,2098,-0.0062499123159796,weighted_bac_delta,-0.01606970948156295,SIGNIFICANT_V8_12P5K_better,2274,5628
10000,0.0034768935605022123,0.0020243559513171204,10000,natural,V8_12P5K_worse,2293,0.0,bond_delta,0.0027535628098063173,SIGNIFICANT_V8_12P5K_worse,4609,3098
5724,-0.005525569605547431,-0.006057030513661684,10000,natural,V8_12P5K_better,245,0.0,angle_delta,-0.005789553642124562,SIGNIFICANT_V8_12P5K_better,3231,2248
5724,-0.005525569605547431,-0.006057030513661684,10000,natural,V8_12P5K_better,245,0.0,active_angle_delta,-0.005789553642124562,SIGNIFICANT_V8_12P5K_better,3231,2248
20,1.0154654773941684e-07,-4.039592554363481e-06,10000,natural,V8_12P5K_better,3,0.0,clash_delta,-1.8791703041642905e-06,NOT_SIGNIFICANT,9,8
3761,-0.013193748961902346,-0.01690408942705415,10000,natural,V8_12P5K_better,570,0.0,ring_delta,-0.015071225205742911,SIGNIFICANT_V8_12P5K_better,1706,1485
3456,0.0,0.0,10000,natural,tie,0,0.0,chirality_preserved,0.0,NOT_SIGNIFICANT,3456,0
10000,0.0013417815234074077,0.0012636538672608731,10000,natural,V8_12P5K_worse,8556,0.0007607100997120142,mean_displacement,0.00130199256689084,SIGNIFICANT_V8_12P5K_worse,55,1389
10000,0.010583355306537269,0.009959924684417202,10000,natural,V8_12P5K_worse,7859,0.0038502924144268036,max_atom_displacement,0.010266779007163131,SIGNIFICANT_V8_12P5K_worse,55,2086
10000,0.0,0.0,10000,natural,tie,0,0.0,solver_failure_count,0.0,NOT_SIGNIFICANT,10000,0
10000,0.0001662138540088199,0.00014246568814851342,10000,natural,V8_12P5K_worse,6759,0.00014737248420715332,rmsd,0.00015421893605962396,SIGNIFICANT_V8_12P5K_worse,56,3185
10000,2.6600799712459187e-06,2.2511787894152843e-06,10000,natural,V8_12P5K_worse,7901,5.689298632205464e-07,target_loss,2.4523375434522878e-06,SIGNIFICANT_V8_12P5K_worse,55,2044
5724,0.007337526205450734,-0.001397624039133473,10000,active_angle,V8_12P5K_better,73,0.0,accepted,0.0029699510831586303,NOT_SIGNIFICANT,5561,90
5724,-0.013160565245693267,-0.018580017598534032,10000,active_angle,V8_12P5K_better,1709,-0.01647838038888949,weighted_bac_delta,-0.015909610961219442,SIGNIFICANT_V8_12P5K_better,97,3918
5724,0.009991927924308083,0.0077448310375335325,10000,active_angle,V8_12P5K_worse,1928,0.0,bond_delta,0.00884603984523135,SIGNIFICANT_V8_12P5K_worse,2094,1702
5724,-0.005525569605547431,-0.006057030513661684,10000,active_angle,V8_12P5K_better,245,0.0,angle_delta,-0.005789553642124562,SIGNIFICANT_V8_12P5K_better,3231,2248
5724,-0.005525569605547431,-0.006057030513661684,10000,active_angle,V8_12P5K_better,245,0.0,active_angle_delta,-0.005789553642124562,SIGNIFICANT_V8_12P5K_better,3231,2248
17,3.1620402296539385e-07,-4.4072475515456655e-06,10000,active_angle,V8_12P5K_better,3,0.0,clash_delta,-1.9706218582167127e-06,NOT_SIGNIFICANT,7,7
2502,-0.007018754840884314,-0.0117359844660446,10000,active_angle,V8_12P5K_better,472,0.0,ring_delta,-0.009362704210656343,SIGNIFICANT_V8_12P5K_better,1144,886
2241,0.0,0.0,10000,active_angle,tie,0,0.0,chirality_preserved,0.0,NOT_SIGNIFICANT,2241,0
5724,0.001973148950619018,0.0018479734917873417,10000,active_angle,V8_12P5K_worse,5128,0.001278650714084506,mean_displacement,0.0019106500740953976,SIGNIFICANT_V8_12P5K_worse,11,585
5724,0.016675706453247664,0.015719877112115675,10000,active_angle,V8_12P5K_worse,5078,0.010336330160498619,max_atom_displacement,0.016206925910446292,SIGNIFICANT_V8_12P5K_worse,11,635
5724,0.0,0.0,10000,active_angle,tie,0,0.0,solver_failure_count,0.0,NOT_SIGNIFICANT,5724,0
5724,0.00017870018801067458,0.0001404220816947111,10000,active_angle,V8_12P5K_worse,3780,0.00015273690223693848,rmsd,0.00015961165311482718,SIGNIFICANT_V8_12P5K_worse,12,1932
5724,3.968946358969267e-06,3.2435841778159026e-06,10000,active_angle,V8_12P5K_worse,3956,6.474603537753865e-07,target_loss,3.600195357766481e-06,SIGNIFICANT_V8_12P5K_worse,11,1757
20,0.3,-0.1,10000,active_clash,V8_12P5K_better,1,0.0,accepted,0.1,NOT_SIGNIFICANT,16,3
20,0.13359069298163373,-0.03683036618277129,10000,active_clash,V8_12P5K_worse,7,0.0,weighted_bac_delta,0.04445068750974316,NOT_SIGNIFICANT,9,4
20,0.0589432070124894,-0.0018656688882037994,10000,active_clash,V8_12P5K_worse,7,0.0,bond_delta,0.027666634926572443,NOT_SIGNIFICANT,10,3
17,0.003153797348632532,-0.0015278385650804812,10000,active_clash,V8_12P5K_worse,3,0.0,angle_delta,0.0006133353556780255,NOT_SIGNIFICANT,11,3
17,0.003153797348632532,-0.0015278385650804812,10000,active_clash,V8_12P5K_worse,3,0.0,active_angle_delta,0.0006133353556780255,NOT_SIGNIFICANT,11,3
20,1.0154654773941684e-07,-4.039592554363481e-06,10000,active_clash,V8_12P5K_better,3,0.0,clash_delta,-1.8791703041642905e-06,NOT_SIGNIFICANT,9,8
15,0.010648143788178762,-0.02462963362534841,10000,active_clash,V8_12P5K_better,2,0.0,ring_delta,-0.005967686076958975,NOT_SIGNIFICANT,10,3
18,0.0,0.0,10000,active_clash,tie,0,0.0,chirality_preserved,0.0,NOT_SIGNIFICANT,18,0
20,0.006845317175466333,0.0015282639623910655,10000,active_clash,V8_12P5K_worse,10,0.0008678568410687149,mean_displacement,0.004058761155465618,SIGNIFICANT_V8_12P5K_worse,9,1
20,0.02111648828256875,0.0029579826956614855,10000,active_clash,V8_12P5K_worse,9,0.0,max_atom_displacement,0.011606353288516402,SIGNIFICANT_V8_12P5K_worse,9,2
20,0.0,0.0,10000,active_clash,tie,0,0.0,solver_failure_count,0.0,NOT_SIGNIFICANT,20,0
20,-0.00026643723249435435,-0.0023223166167736053,10000,active_clash,V8_12P5K_better,4,0.0,rmsd,-0.0011985242366790772,SIGNIFICANT_V8_12P5K_better,9,7
20,2.855445389172928e-05,5.123617378330891e-06,10000,active_clash,V8_12P5K_worse,10,1.352784693153808e-07,target_loss,1.5494657827730406e-05,SIGNIFICANT_V8_12P5K_worse,9,1
3761,0.009306035628822122,-0.0018612071257644244,10000,ring_risk,V8_12P5K_better,53,0.0,accepted,0.003722414251528849,NOT_SIGNIFICANT,3641,67
3761,-0.028790971280300528,-0.0369388113603718,10000,ring_risk,V8_12P5K_better,1011,-0.03472250606864691,weighted_bac_delta,-0.032874636536017,SIGNIFICANT_V8_12P5K_better,252,2498
3761,0.0032763386634172267,0.00031327537607750265,10000,ring_risk,V8_12P5K_worse,1105,0.0,bond_delta,0.0017878932425714148,SIGNIFICANT_V8_12P5K_worse,973,1683
2502,-0.00441353977713224,-0.005208658351055566,10000,ring_risk,V8_12P5K_better,138,0.0,angle_delta,-0.004808151816984982,SIGNIFICANT_V8_12P5K_better,1482,882
2502,-0.00441353977713224,-0.005208658351055566,10000,ring_risk,V8_12P5K_better,138,0.0,active_angle_delta,-0.004808151816984982,SIGNIFICANT_V8_12P5K_better,1482,882
15,3.1351610232377195e-07,-4.972539245500229e-06,10000,ring_risk,V8_12P5K_better,3,0.0,clash_delta,-2.2333714393122743e-06,NOT_SIGNIFICANT,5,7
3761,-0.013193748961902346,-0.01690408942705415,10000,ring_risk,V8_12P5K_better,570,0.0,ring_delta,-0.015071225205742911,SIGNIFICANT_V8_12P5K_better,1706,1485
1613,0.0,0.0,10000,ring_risk,tie,0,0.0,chirality_preserved,0.0,NOT_SIGNIFICANT,1613,0
3761,0.0017949637096520304,0.0016343369711665533,10000,ring_risk,V8_12P5K_worse,3241,0.0010487486142665148,mean_displacement,0.0017139121002451524,SIGNIFICANT_V8_12P5K_worse,8,512
3761,0.013303451219663722,0.012193298698855479,10000,ring_risk,V8_12P5K_worse,3061,0.006754509173333645,max_atom_displacement,0.012739363510927547,SIGNIFICANT_V8_12P5K_worse,8,692
3761,0.0,0.0,10000,ring_risk,tie,0,0.0,solver_failure_count,0.0,NOT_SIGNIFICANT,3761,0
3761,0.00020489340092876875,0.0001554209740703187,10000,ring_risk,V8_12P5K_worse,2526,0.0001780986785888672,rmsd,0.0001796963011781068,SIGNIFICANT_V8_12P5K_worse,9,1226
3761,4.551703711696123e-06,3.699951363780696e-06,10000,ring_risk,V8_12P5K_worse,2925,8.841300882522773e-07,target_loss,4.1293495288838735e-06,SIGNIFICANT_V8_12P5K_worse,8,828
7366,0.007195221286994298,0.0006787944610371979,10000,high_flexibility,V8_12P5K_better,61,0.0,accepted,0.003937007874015748,SIGNIFICANT_V8_12P5K_better,7215,90
7366,-0.012102036949288986,-0.015803474771343487,10000,high_flexibility,V8_12P5K_better,1506,-0.005919968777789109,weighted_bac_delta,-0.013966705344170589,SIGNIFICANT_V8_12P5K_better,1685,4175
7366,0.003582783462090922,0.0019715100125851683,10000,high_flexibility,V8_12P5K_worse,1661,0.0,bond_delta,0.002767544223449289,SIGNIFICANT_V8_12P5K_worse,3399,2306
4289,-0.0053228547409198326,-0.005913040539187132,10000,high_flexibility,V8_12P5K_better,187,0.0,angle_delta,-0.005616177815408049,SIGNIFICANT_V8_12P5K_better,2354,1748
4289,-0.0053228547409198326,-0.005913040539187132,10000,high_flexibility,V8_12P5K_better,187,0.0,active_angle_delta,-0.005616177815408049,SIGNIFICANT_V8_12P5K_better,2354,1748
20,1.0154654773941684e-07,-4.039592554363481e-06,10000,high_flexibility,V8_12P5K_better,3,0.0,clash_delta,-1.8791703041642905e-06,NOT_SIGNIFICANT,9,8
2622,-0.012457085218906408,-0.016727189928762796,10000,high_flexibility,V8_12P5K_better,389,0.0,ring_delta,-0.014589540397536654,SIGNIFICANT_V8_12P5K_better,1218,1015
2820,0.0,0.0,10000,high_flexibility,tie,0,0.0,chirality_preserved,0.0,NOT_SIGNIFICANT,2820,0
7366,0.0012602265474763433,0.0011766744181940722,10000,high_flexibility,V8_12P5K_worse,6408,0.000758849666453898,mean_displacement,0.0012175387113215611,SIGNIFICANT_V8_12P5K_worse,39,919
7366,0.01009721271289074,0.009388407247085435,10000,high_flexibility,V8_12P5K_worse,5744,0.003561620134860277,max_atom_displacement,0.009737755594975608,SIGNIFICANT_V8_12P5K_worse,39,1583
7366,0.0,0.0,10000,high_flexibility,tie,0,0.0,solver_failure_count,0.0,NOT_SIGNIFICANT,7366,0
7366,0.00013688415345315325,0.00011464276455596652,10000,high_flexibility,V8_12P5K_worse,4926,0.0001385807991027832,rmsd,0.00012586982690653592,SIGNIFICANT_V8_12P5K_worse,39,2401
7366,2.6991781526511107e-06,2.2651792426077514e-06,10000,high_flexibility,V8_12P5K_worse,5987,6.15632927747356e-07,target_loss,2.4763730988788917e-06,SIGNIFICANT_V8_12P5K_worse,39,1340
4521,0.0042026100420261,-0.0028754700287547,10000,low_error_minimal_movement,V8_12P5K_better,32,0.0,accepted,0.0006635700066357001,NOT_SIGNIFICANT,4454,35
4521,-0.007895334024558038,-0.011012244407802995,10000,low_error_minimal_movement,V8_12P5K_better,554,0.0,weighted_bac_delta,-0.009447174330117979,SIGNIFICANT_V8_12P5K_better,2061,1906
4521,0.00022816305362191583,-0.0012101636255993035,10000,low_error_minimal_movement,V8_12P5K_better,544,0.0,bond_delta,-0.0004899229562238396,NOT_SIGNIFICANT,2974,1003
1461,-0.004805651033358696,-0.005737790428223133,10000,low_error_minimal_movement,V8_12P5K_better,60,0.0,angle_delta,-0.005265889367729956,SIGNIFICANT_V8_12P5K_better,827,574
1461,-0.004805651033358696,-0.005737790428223133,10000,low_error_minimal_movement,V8_12P5K_better,60,0.0,active_angle_delta,-0.005265889367729956,SIGNIFICANT_V8_12P5K_better,827,574
5,4.679663106799126e-07,-4.996074130758643e-06,10000,low_error_minimal_movement,V8_12P5K_better,2,0.0,clash_delta,-1.678825356066227e-06,NOT_SIGNIFICANT,1,2
1064,-0.01565214637238042,-0.021007053035134587,10000,low_error_minimal_movement,V8_12P5K_better,107,0.0,ring_delta,-0.018337239875437172,SIGNIFICANT_V8_12P5K_better,535,422
1377,0.0,0.0,10000,low_error_minimal_movement,tie,0,0.0,chirality_preserved,0.0,NOT_SIGNIFICANT,1377,0
4521,0.0007177388548738138,0.0006491040268229598,10000,low_error_minimal_movement,V8_12P5K_worse,3797,0.00048756180331110954,mean_displacement,0.0006833665254589958,SIGNIFICANT_V8_12P5K_worse,43,681
4521,0.003897431963436178,0.0032981579269129465,10000,low_error_minimal_movement,V8_12P5K_worse,2926,0.0007215081714093685,max_atom_displacement,0.003598649962591487,SIGNIFICANT_V8_12P5K_worse,43,1552
4521,0.0,0.0,10000,low_error_minimal_movement,tie,0,0.0,solver_failure_count,0.0,NOT_SIGNIFICANT,4521,0
4521,0.0001684294853331033,0.00014590223389765252,10000,low_error_minimal_movement,V8_12P5K_worse,3254,0.00014710426330566406,rmsd,0.00015711655427867187,SIGNIFICANT_V8_12P5K_worse,43,1224
4521,2.0931058760459956e-06,1.6526980977701582e-06,10000,low_error_minimal_movement,V8_12P5K_worse,4099,4.3947918015874166e-07,target_loss,1.8649388316531567e-06,SIGNIFICANT_V8_12P5K_worse,43,379
